Character,Dialogue
Cloud,"In your dreams, maybe."
Tifa,"Cloud! Uh...since we're here, maybe we should do a little shopping?"
Cloud,Suppose I could take a look.
Tifa,"We'll see you around, okay? And let us know when your filter next needs changing!"
Tifa,He's a regular. Stock up here and he might throw in a freebie or two.
Cloud,For you maybe...
Tifa,Well... You could try being a little nicer.
Cloud,To get free shit? Not my style.
Tifa,(chuckles) Our next stop is Stargazer Heights. Landlady's a client.
Cloud,Just met her.
Tifa,"Then you know what to expect. Remember she's a good friend of Avalanche, so be nice. Please."
Tifa,"Hey, Marle! Got some filters for you."
Cloud,Working.
Tifa,Be nice! Cloud's helping me with collections.
Tifa,"I'm pretty good at taking care of myself, you know."
Cloud,I've got skills.
Tifa,Be nice!
Cloud,I'm doing my best...
Tifa,"A tried-and-true lesson for life on the ground floor, am I right?"
Tifa,"Thanks, Marle. You take care of yourself."
Tifa,Marle's great. She helped get me set up back in the day.
Cloud,You...been here a while now?
Tifa,"Five years, give or take... But never mind that! We've gotta get you your money! Last stop is the weapon store."
Tifa,We're so sorry about that. Hopefully this one will work better...
Tifa,"All right. If you could just settle your bill, we'll be on our way."
Tifa,My associate handles payment disputes...
Cloud,Pretty please.
Tifa,Thank you very much!
Tifa,"Seeing as we're done with our rounds, and you've got a small fortune now, why not take a gander at the weapons?"
Cloud,Well...when will Barret be back with the rest?
Tifa,"Before we open up tonight. It'll be a while yet, so...what do you wanna do?"
Cloud,Don't really know...
Tifa,"In that case, I've got a suggestion. Wanna hear it? If you're serious about becoming a merc, then you're going to need to start making connections. ""It's not what you know, but who you know,"" y'know?"
Cloud,Hmph. Another lesson for life on the ground floor?
Tifa,"Yep. Connections get you jobs, jobs build your rep, and more rep gets you better connections..."
Cloud,How do I start?
Tifa,"Hmm...why not help out the neighborhood watch? They're mostly volunteers, but you'll get to know people."
Cloud,"Yeah, okay."
Tifa,"Didn't see anybody at the office, so let's head up top."
Tifa,"Huh, didn't know you were holding down the fort."
Cloud,That depends. What does this neighborhood watch do?
Tifa,"Cloud's a great fighter, but only we know that. If no one knows him, no one'll hire him. Thought if he joined the watch, he could get his name out there."
Cloud,No thanks. It's fine just the way it is.
Cloud,Thanks.
Tifa,"Between him and Wedge, there isn't anyone they don't know."
Cloud,So...where are these monsters?
Tifa,"Hey, Cloud. I'll come with."
Cloud,"No, I've got this."
Tifa,"But...you don't know the way, do you?"
Cloud,Lead on.
Tifa,(chuckles) Sure thing. I know these streets better than anyone.
Tifa,"Scrap Boulevard is out west. Past the barricades supposed to keep the monsters out. Anyway, we should prepare, just in case."
Tifa,Here's Scrap Boulevard.
Cloud,I can see why monsters'd feel right at home.
Tifa,"Hm. And the more we pile up, the more they show up."
Tifa,"And there's our first challenger! Show me what you got, Cloud!"
Tifa,Wow... So that's what a SOLDIER looks line in action.
Cloud,This was just a warm-up.
Tifa,(chuckles) I'll bet. Let's keep at it!
Tifa,You're good at this! Charging in like it was nothing...
Cloud,You too. It's a little surprising.
Tifa,"Well, I've been here five years now. ""If you don't look out for yourself, no one else will."" By the way—that one's gonna be on the test."
Cloud,This a lesson?
Tifa,"Gotta learn if you're gonna stick around. Okay, let's wrap this up..."
Tifa,Alright. I think that might be the last of them.
Cloud,They won't stay gone for long...
Tifa,"Of course not. Even so, folks'll be grateful for the peace and quiet in the meantime. A win's a win, you know?"
Cloud,True.
Tifa,"Trust me—it'll do wonders for your rep. Right, let's go check in with Biggs and Wedge."
Cloud,Yeah.
Tifa,Got every last one too. Now the slums should be safe.
Cloud,So I heard. I've gotta ask though. What did you tell them?
Tifa,"It's alright. All you gotta do is keep up the good work. It'll pay off soon enough, I promise."
Cloud,Good.
Cloud,Yeah. We've been through a lot—
Tifa,You okay?
Cloud,I'm fine.
Tifa,Been meaning to ask... After you left the village...
Cloud,It's a long story.
Tifa,I've got time! Why don't you tell me all about it while we try to rustle up some more work for you?
Tifa,Sorry. Maybe next time.
Tifa,"Hey, before we get back to it, why don't you check out the weapons?"
Cloud,No need.
Tifa,"C'mon, the dealer's probably heard all about you by now. Might treat you better."
Cloud,I dunno about that...
Tifa,Word spreads fast around here.
Cloud,What if I am?
Cloud,Fine.
Cloud,Just a look.
Tifa,"Since you've got yourself a new weapon, let's see if we can't put it to good use. Come on. Let's go chat up Wymer."
Cloud,Who?
Tifa,The guy who tracks all the requests that come to the watch. You never know—could toss some work your way.
Cloud,Where's he at?
Tifa,"Oh, he should be back at the office by now."
Tifa,"Actually, I wanted to introduce you to an old friend of mine. This is Cloud. He's a merc."
Cloud,"I'll take on anything. For the right price, that is."
Cloud,Thanks.
Tifa,Something's wrong. Let's check it out.
Tifa,That went well. Could be you've found your calling.
Cloud,Eh. Was alright I guess.
Tifa,"Think of each job as an opportunity—not to make money, but to build connections."
Cloud,"""It's not what you know, but who."""
Tifa,(chuckles) You remembered.
Cloud,Had a patient teacher.
Tifa,Maybe not so patient next time.
Cloud,Hoo boy.
Tifa,"Oh, Barret should've finished collecting his share of the money by now, so what do you wanna do? Head back to the bar?"
Tifa,"I'll be a lot of people are talking about you right now. ""There's this amazing merc who can handle anything!"""
Cloud,Nothing I've done around here has been all that special though.
Tifa,"Oh, so you want more of a challenge, huh?"
Tifa,Okay then! That's another solid gig in the books! You know the whole town is really impressed with what you've done. Keep it up and you'll have enough work to keep you fed for a lifetime!
Cloud,All thanks to you.
Tifa,And don't you forget it!
Cloud,So where do we get paid? The shop or something?
Tifa,"Yeah, but why don't we head back to the apartments first? Take a quick breather."
Cloud,Which lesson was that again...?
Tifa,"Lesson one. Got it? Anyway, let's go!"
Cloud,I'm not interested in working for Shinra.
Cloud,I will hold you to that.
Cloud,There. That should be enough intel for the kid.
Cloud,Yeah.
Cloud,"I don't see any ""doomrats"" around..."
Tifa,"Hmm, what do you think? Should we wait? You know, this might be a waste of time. Let's head back to the store and touch base for now."
Cloud,"Yeah, sure."
Cloud,I'll handle it.
Cloud,Well...
Tifa,No.
Tifa,I know someone who can help you. This guy right here.
Cloud,I'm looking for cats?
Cloud,This sucks.
Cloud,"Ugh, screw this."
Cloud,I'll handle it.
Cloud,"Gotta say, I've never seen a Shinra breed like that before. Out of curiosity, when exactly did it show up?"
Cloud,Huh. Really...? That's news to me.
Cloud,It's a big organization. I'm sure there's lots of secrets I don't know.
Tifa,That the key?
Cloud,Yeah.
Cloud,They're just doing their jobs. Can't expect them to be at your beck and call.
Cloud,You need people who can follow orders too.
Tifa,Sure thing!
Cloud,...We're already friends.
Tifa,"Let's take care of this real quick, okay?"
Cloud,Sure.
Tifa,Come over when you're done.
Tifa,Gimme one sec. I'll be done in a bit.
Tifa,Finally!
Tifa,So. After you left the village.
Cloud,Hm?
Tifa,I let you off the hook before. Back at the hall. But not this time.
Cloud,"Well, when we were kids...everybody wanted to be a SOLDIER, right?"
Tifa,"Yeah, I remember they were on the news every day during the war."
Cloud,"Thing is, by the time I finally made it in, they didn't need heroes anymore. It was nothing like what we'd dreamt of. It was just...working for Shinra. Just..."
Tifa,I'm sorry. I know it's a touchy subject.
Cloud,Not exactly small talk. Especially with someone you haven't seen in a while.
Tifa,"I get it. Still, it's kinda funny. Us going our separate ways, thinking that must be it... that we'd never meet again—and then here of all places we do."
Tifa,You know what? We should totally celebrate! Let's dress up and hit the town!
Cloud,Really?
Tifa,"I mean, why not? It'll be fun!"
Cloud,Do you even have fancy clothes?
Tifa,"Not like fancy fancy, but I'll figure something out! What do you think would suit me, huh?"
Cloud,Something refined.
Tifa,"Yeah, I guess we're not kids anymore."
Cloud,Something...sporty?
Tifa,I don't think that'd be so different from my usual.
Cloud,Something exotic?
Tifa,"Uhhh...really? Then again, if we're making an effort..."
Tifa,"Be sure to pick an outfit that goes with mine, okay?"
Cloud,Will do.
Tifa,"(chuckles) This is gonna be so much fun, you'll see!"
Cloud,Yeah...maybe.
Tifa,"And on that happy note, I think it's time we headed back to the bar. C'mon!"
Cloud,"Uh, you don't need a break?"
Tifa,"Honestly, I'm feeling pretty good. Marle isn't always right you know."
Tifa,"Hey, Marle. We took care of the filters, so we're gonna head back to the bar now."
Tifa,Uh...I don't feel that different.
Tifa,What's going on?
Tifa,"We've gotta save him, Cloud!"
Cloud,Is he Avalanche?
Tifa,No. He doesn't really know what we do...but he has his suspicions. And... He's a talker.
Tifa,"Actually, you know what...maybe I should go alone."
Cloud,I'm coming.
Tifa,Uh...are you sure?
Cloud,It's the least I can do. Lead on.
Tifa,Thanks. Come on!
Tifa,Come on. Let's get a closer look.
Tifa,"I swear, all he had to do was keep his mouth shut."
Cloud,Yep.
Tifa,"Anyway, you distract the officers, and I'll...figure something out."
Cloud,Let him go.
Tifa,Here we go...
Tifa,Grab Johnny so we can get outta here.
Cloud,Alright.
Tifa,Wh—what now?
Cloud,He's a talker.
Tifa,No!
Cloud,"You wanna live, then get the hell out of town."
Cloud,Are you sure about this? It's a big risk.
Tifa,"I know, but...it's fine."
Cloud,And them?
Tifa,No more... Cloud... You're scaring me.
Tifa,We need to go before they wake up.
Tifa,I...I'm worried about Johnny.
Cloud,"I'm more worried about us. We gotta go, right?"
Tifa,Right...
Cloud,What?
Tifa,It's just...you've really changed.
Cloud,How?
Tifa,I suppose it's...yeah. Your eyes. They used to be less...
Cloud,"It's the mako. SOLDIER, remember?"
Tifa,"...I remember. So, what do you wanna do now? Head back to the bar? Or do you wanna tackle another job or two?"
Tifa,And here we are. You must be tired.
Cloud,"Same as you, I guess."
Tifa,"Could use a little something to take the edge off, right? How about a refreshing cocktail made by yours truly that you can sit back and savor?"
Cloud,Tifa...
Tifa,"Yeah, I'm feeling it a bit too. Hey... Do you think you'll stick around a little longer?"
Cloud,"Maybe. Work for a minute, build up some savings..."
Tifa,"I see. In that case, wanna head back out and look for more gigs?"
Cloud,"Yeah, why not."
Tifa,Well? You wanna head inside?
Tifa,We're back.
Tifa,Lotsa fun.
Barret,Hey—need y'all downstairs.
Tifa,Uh...right now? Then the plan is...?
Barret,"Marlene, wanna go wait for Jessie out front?"
Tifa,"Looks like we're officially on for tomorrow night, then. Gotta go over the details with the others."
Cloud,"Before you do, about my pay—"
Barret,"You'll get your money! So sit down and shut up until we're finished. Double time, Tifa."
Tifa,I'm really sorry...but it shouldn't take much longer. In the meantime... Grab a seat.
Tifa,What'll it be?
Cloud,I dunno...something hard and bitter.
Cloud,Not really in the mood right now.
Tifa,"But if you were, then maybe..."
Tifa,Well? Most people would say something sweet right about now.
Cloud,I'm sure they would.
Tifa,"Ahh, but you're a more discerning customer, aren't you? In which case..."
Tifa,Our house special the Cosmo Canyon.
Cloud,Beautiful.
Tifa,I gotta go. Enjoy.
Cloud,For the right price.
Cloud,Could still kill some time.
Cloud,What was up with that girl anyway?
Cloud,Maybe just chill a bit.
Cloud,I heard you're having second thoughts.
Tifa,I know we have to think big if we're going to make a difference. But not like this. I just... I feel trapped.
Cloud,"If it feels wrong, don't do it."
Tifa,"Guess that's that, then."
Cloud,"What, they kick you out?"
Tifa,We agreed to disagree. So—you want another drink?
Barret,Tifa! Time to celebrate! Break out all the good stuff!
Tifa,Oh. Sure.
Barret,We won't be needing you for this next job. Feel free to look for work elsewhere.
Cloud,"Fine by me. That's how I like it. No contract, no obligation."
Barret,"Figured you'd say that. Here—the rest of your payment, along with a little extra for your exemplary service. And thus concludes our business. Gonna have to ask you to leave now. This here's a private affair."
Cloud,It's fine.
Cloud,"Really, it's fine."
Barret,Keep it tight! Ain't no room for error come tomorrow!
Tifa,It's been too long since we did this.
Barret,"It was an ""amicable separation."""
